id,exhibitor_id,company_name,hall,nivel,stand,city,cities,category,product,website,logo_url,econexia_url,description_es,status,source
gsi-2026-08-164A,821241,A&T INCONSER,08,01,164A,CARMEN DE APICALA,otro,,,https://aytinconser.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55451,,"A&T Inversiones, Construcciones y Servicios S.A.S. es una empresa dedicada al desarrollo y comercialización de proyectos urbanísticos, especializada en la venta de lotes con financiación directa. Nuestro compromiso es brindar oportunidades de inversión seguras, ofreciendo proyectos de calidad que generan valorización y bienestar para nuestros clientes.",captured,catalog
gsi-2026-06-527,817424,AR CONSTRUCCIONES,06,01,527,BOGOTA D.C.,bogota,vis;no_vis,PROYECTOS VIS Y NOVIS,http://www.arconstrucciones.com,,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=BC74A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-06-113,817941,ACCIÓN INMOBILIARIA,06,01,113,BOGOTA D.C.,bogota,servicios,"CAPTACION DE INMUEBLES, CAPTACION DE CLIENTES COMPRANDO Y ARRENDANDO Y CAPTACION DE AGENTES INMOBILIARIOS INDEPENDIENTES.",,,,,captured,catalog
gsi-2026-07-228,818555,ALMERIA DEVELOPERS,07,01,228,MIAMI,internacional,financiero;comercio;inversion,"Finca Raíz para Invertir en USA Oportunidades de inversión en bienes raíces en Estados Unidos. Asesoramos a inversionistas internacionales en la compra de propiedades residenciales y comerciales, con opciones de alta rentabilidad en mercados estratégicos. Acompañamiento integral desde la selección del inmueble hasta el cierre de la operación. Préstamos de Construcción Financiamiento especializado para proyectos de construcción en Estados Unidos. Ofrecemos líneas de crédito diseñadas para desarrolladores y constructores",http://almeriafl.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56203,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=A61A739F-0E91-F111-AF8F-FBBFABF658F0&shop_tracking_id=0,,captured,catalog
gsi-2026-07-243,815230,ALTIUS PANAMA,07,01,243,PANAMA,internacional,vivienda,"Exhibiremos varios desarrollos de apartamentos residenciales en el centro de la Ciudad de Panamá, entre ellos: More Vía Argentina https://more.com.pa/ y Nostrum Obarrio https://www.nostrum.com.pa/",http://altius.com.pa,,,,captured,catalog
gsi-2026-06-302A,805409,AMARILO S A S,06,01,302A,BOGOTA D.C.,bogota,,,https://amarilo.com.co/,,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=8275A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-05-116,827471,AMBIENTTI CONSTRUCTORA INMOBILIARIA S.A./CONSTRUCTORA KOVOK SAS,05,01,116,BOGOTA D.C.,bogota,vivienda;servicios,VENTAS DE CASAS Y APARTAMENTOS,http://www.ambientti.com.co,,,,captured,catalog
gsi-2026-08-202A,805724,APIROS,08,01,202A,BOGOTA D.C.,bogota,vis;no_vis;vivienda,"Proyectos de apartamentos VIS y NO VIS ubicados en Bogotá, Soacha y Barranquilla",https://apiros.com.co/,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=54801,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=D075A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-06-445,808560,ARANJUEZ CONSTRUCCIONES,06,01,445,BOGOTA D.C.,bogota,,,,,,,captured,catalog
gsi-2026-06-228,804481,ARQUITECTURA Y CONCRETO,06,01,228,BOGOTA D.C.,bogota,comercio;vivienda,"Lotes, casas, apartamentos, oficinas y locales",http://www.arquitecturayconcreto.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=52780,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=0476A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-08-274A,821980,CONSTRUCTORA SIGLO XXI SANTODOMINGO SAS,08,01,274A,BOGOTA D.C.,bogota,,,,,,,captured,catalog
gsi-2026-08-328,820797,ARTIS URBANO,08,01,328,BOGOTA D.C.,bogota,vis;no_vis;vivienda,VIVIENDA VIS Y NO VIS EN BOGOTÁ Y ZIPAQUIRÁ,http://www.artisurbano.com,,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=1576A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-08-378,826634,ARB,08,01,378,BOGOTA D.C.,bogota,,"PRESTACION DE SERVICIO PUBLICO DE ASEO EN EL COMPONENTE DE APROVECHAMIENTO. FABRICACION DE PERFILES, MOVILIARIO, ESTRUCTURA E INMUEBLES, LAMINA Y MANGUERA PARA RIEGO A PARTIR DE PLASTICO RECICLADO, TRANSFORMACION (PELETIZADO, MOLIDO, AGLUTINADO) DE PLASTICOS PARA LA INDUSTRIA. DISEÑO DE INMOBILIARIO Y ESTRUCTURA EN MADERA PLASTICA.",http://www.asociacionrecicladoresbogota.org,,,,captured,catalog
gsi-2026-08-372A,821019,ESTRENAR VIVIENDA,08,01,372A,BOGOTA D.C.,bogota,financiero;vivienda,"Revista y portal Web que contienen la oferta de Proyectos de Vivienda Nueva en Bogotá, Alrededor de Bogotá y en Zonas del País y la Línea de Financiación de Crédito Hipotecario",http://www.estrenarvivienda.com,,,,captured,catalog
gsi-2026-07-258,823468,ACOBIR,07,01,258,PANAMA,internacional,,SERVICIOS DE PROMOCION DE NUESTROS EVENTOS Y DE LO QUE OFRECEMOS COMO ASOCIACIÓN A NUESTROS AGREMIADOS,http://www.acobir.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55206,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=A8B3763F-A387-F111-AF8F-FBBFABF658F0&shop_tracking_id=0,,captured,catalog
gsi-2026-05-117,826334,ASOVICOL DE SAN MIGUEL,05,01,117,VILLETA,otro,,,,,,,captured,catalog
gsi-2026-06-234,804537,ASUL S.A.S,06,01,234,PEREIRA,eje_cafetero,vis;no_vis;comercio,"BODEGAS, OFICINAS, PROYECTOS VIS, NO VIS",http://www.asul.com.co,,,,captured,catalog
gsi-2026-06-633,803628,B & G CONSTRUCCIONES S.A.S,06,01,633,LA MESA,otro,vivienda,"Los tres proyectos de vivienda ubicados en La Mesa representan una oferta integral para diferentes estilos de vida. Altos del Refugio combina apartamentos y casas diseñados para quienes buscan comodidad y cercanía a servicios, manteniendo un ambiente residencial y funcional. Cerro ofrece igualmente una mezcla de apartamentos y casas, destacándose por su diseño contemporáneo y su ubicación estratégica que permite disfrutar de vistas privilegiadas y una conexión directa con la naturaleza. Finalmente, Bosques Gerizim se orienta a viviendas campestres, conformadas por casas que priorizan amplios espacios, tranquilidad y une stilo de vida más rural, ideal para quienes desean vivir rodeados de vegetación y paisajes propios de La Mesa.",http://www.bygconstrucciones.com,,https://econexia.com/es/vitrina-detalle-expositor/estilo-de-vida-y-consumo/empresa/&seller_tracking_id=B676A198-7ACC-F011-AF7C-C374EF0A92CD&shop_tracking_id=0,,captured,catalog
gsi-2026-06-402,809182,BBVA COLOMBIA,06,01,402,BOGOTA D.C.,bogota,financiero;vivienda,Oferta de portafolio financiero de productos para la adquisición de vivienda,http://www.bbva.com.co,,,,captured,catalog
gsi-2026-06-202,809166,BANCO CAJA SOCIAL S.A.,06,01,202,BOGOTA D.C.,bogota,financiero,Productos Financieros,https://www.bancocajasocial.com/creditos-de-vivienda/,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55902,https://econexia.com/,"El Banco Caja Social, empresa de Fundación Grupo Social, lleva más de 115 años contribuyendo al desarrollo social y económico de Colombia. A través de su actividad financiera, promueve la inclusión y acompaña a las personas, familias, microempresarios, pequeñas y medianas empresas, el sector inmobiliario y otros segmentos con soluciones que responden a sus necesidades y contribuyen a su bienestar financiero, Con más de 2,4 millones de clientes y presencia en 875 municipios del país, reafirma su compromiso con el bienestar de sus clientes y el desarrollo del país.",captured,catalog
gsi-2026-07-169,809891,"Clara Robinson PA, Property Management",07,01,169,PEMBROKE PINES,otro,,"Administración de propiedades en el Sur &Central Florida, Detroit -Michigan & Cleveland -Ohio.",,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56112,,"Ofrecemos servicios profesionales de administración para casas unifamiliares, condominios y casas adosadas en Florida y Detroit. Nuestro equipo cuenta con amplia experiencia y es completamente bilingüe en inglés y español, lo que nos permite mantener una comunicación clara con propietarios, inquilinos, proveedores y agencias de vivienda. También trabajamos con programas gubernamentales de asistencia para vivienda, incluyendo Sección 8, en múltiples ciudades. Nuestro objetivo es brindar a los propietarios un servicio integral, confiable y 100 % transparente.",captured,catalog
gsi-2026-07-233,821785,EFC GROUP,07,01,233,PANAMA,internacional,,,,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56196,,""" ELEVAMOS TU CALIDAD DE VIDA Somos una empresa inmobiliaria con más de 15 años de experiencia en el diseño, desarrollo y gestión de proyectos funcionales de vivienda y oficinas. Actualmente contamos con una interesante oferta dirigida al mercado inversionista Colombiano, por esta razón llegamos por primera vez al Gran Salón Inmobiliario, con nestros proyectos APRES y Park Square, ubicados en Ciudad de Panamá.""",captured,catalog
gsi-2026-08-155A,824712,COLETTA Y FAZZI,08,01,155A,CARTAGENA,cartagena,,Proyectos inmobiliarios,,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56091,,,captured,catalog
gsi-2026-08-149B,825305,COLOMBIA CMF SA,08,01,149B,BOGOTA D.C.,bogota,,,https://www.cmfsa.com/,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55989,,"CMF Constructora es una compañía colombiana con más de 25 años de experiencia en la gestión y construcción de proyectos inmobiliarios integrales. Desarrollamos proyectos residenciales, comerciales e industriales, acompañando cada etapa del proceso, desde la estructuración y el diseño hasta la construcción y comercialización. Trabajamos con ética, eficiencia y calidad, transformando ideas en proyectos que generan valor y contribuyen al desarrollo de las ciudades y sus comunidades.",captured,catalog
gsi-2026-06-534,805397,CONALTURA CONSTRUCCION Y VIVIENDA S.A.S,06,01,534,MEDELLIN,medellin,vivienda,,http://www.conaltura.com,,,,captured,catalog
gsi-2026-06-233,804858,CONFIAR COOP,06,01,233,MEDELLIN,medellin,vivienda,"Productos y servicios de ahorro, crédito y beneficios. Proyectos de vivienda.",http://www.confiar.coop,,,,captured,catalog
gsi-2026-08-129A,819834,MALECÓN 72,08,01,129A,BARRANQUILLA,barranquilla,,Proyectos inmobiliarios en la Costa Caribe,https://www.ydn.com.co/,,,,captured,catalog
gsi-2026-08-102A,799433,CONSTRUCCIONES BUEN VIVIR SAS,08,01,102A,BOGOTA D.C.,bogota,,,http://wwww.buenvivir.co,,,,captured,catalog
